net,length_um
final_sum6[1],35.24
final_sum6[2],35.24
final_sum6[3],35.24
final_sum6[4],35.24
final_sum6[5],35.24
final_sum6[6],35.24
final_sum6[7],35.24
final_sum6[8],35.24
_0536_,35.18
_1118_,34.98
_1611_,34.94
final_sum7[4],34.82
_0846_,34.74
partial_sum15[4],34.7
sm2.s2.t1.A_wire\[3\],34.4
final_sum3[10],34.32
_1137_,34.26
final_sum5[9],34.22
_2267_,34.18
partial_sum15[8],34.18
final_sum5[12],34
_1157_,33.76
_2129_,33.68
sm2.s1.t1.A_wire\[3\],33.6
_1353_,33.5
_0511_,33.4
partial_sum15[3],33.34
_1565_,33.31
_0393_,33.28
_0406_,33.06
partial_sum14_2[0],33
net325,33
_0666_,32.94
_1245_,32.85
_0624_,32.8
_1204_,32.8
_1345_,32.77
net191,32.72
_1329_,32.58
final_sum4[7],32.56
_0739_,32.53
final_sum4[8],32.52
final_sum4[9],32.52
final_sum7[11],32.52
final_sum7[7],32.52
final_sum8[2],32.52
partial_sum14_2[2],32.5
_2109_,32.44
_0518_,32.41
final_sum7[6],32.1
final_sum5[3],32.06
final_sum5[4],32.06
_0272_,32.04
_1189_,32.04
_1517_,32.04
_0481_,32
final_sum3[0],31.96
_1098_,31.94
final_sum2[11],31.84
_0604_,31.82
_1728_,31.72
partial_sum14_3[10],31.64
partial_sum14_3[12],31.54
sm1.s1.t1.A_wire\[9\],31.52
partial_sum15_1[6],31.5
partial_sum15_1[7],31.5
_2285_,31.29
_2165_,31.28
partial_sum15_1[3],31.28
partial_sum14_2[4],31.26
final_sum7[5],31.18
final_sum8[1],31.1
_0099_,31.02
net167,30.96
_0235_,30.88
final_sum8[5],30.84
_1582_,30.78
_0182_,30.74
final_sum3[6],30.7
final_sum7[10],30.64
partial_sum14_1[10],30.58
partial_sum14_2[3],30.58
partial_sum14_2[7],30.58
_1686_,30.54
_1899_,30.52
partial_sum14_3[7],30.5
_1376_,30.38
partial_sum15_1[5],30.26
_0196_,30.18
_1846_,30.12
_2246_,30.12
partial_sum14_2[12],30.12
partial_sum14_2[13],30.12
partial_sum14_3[4],30.12
net120,29.98
partial_sum14_2[1],29.88
partial_sum15[13],29.88
_0937_,29.82
partial_sum15[14],29.8
final_sum2[7],29.66
_1545_,29.54
partial_sum14_1[9],29.54
partial_sum14_1[8],29.5
_0821_,29.4
_1040_,29.28
net479,29.28
net60,28.92
_1615_,28.9
partial_sum15_1[0],28.9
net425,28.86
_0551_,28.82
_1383_,28.7
partial_sum15_1[8],28.7
partial_sum14_1[11],28.5
partial_sum14_3[5],28.5
_1622_,28.4
net294,28.4
_1276_,28.36
_0118_,28.32
final_sum2[8],28.26
_2352_,28.2
_0559_,28.16
partial_sum14_3[9],28.16
final_sum2[10],28.1
_2263_,28.06
_1797_,27.98
_1544_,27.94
partial_sum14_3[13],27.92
_1525_,27.88
net467,27.86
_0941_,27.75
partial_sum14_3[0],27.72
partial_sum14_1[7],27.68
partial_sum15[12],27.66
partial_sum15[0],27.64
partial_sum15_1[11],27.6
net480,27.58
partial_sum15[9],27.56
_0923_,27.48
partial_sum15_1[13],27.48
partial_sum15_1[9],27.48
partial_sum14_3[2],27.36
partial_sum14_3[3],27.36
partial_sum15[2],27.24
_0453_,27.1
_1727_,27.1
net204,27.1
net449,27.1
_0991_,27.08
_1151_,27
_0579_,26.98
partial_sum14_2[11],26.78
final_sum2[12],26.74
net194,26.72
_0837_,26.7
_0877_,26.68
net431,26.66
partial_sum16[0],26.64
_1207_,26.52
net134,26.46
_1807_,26.41
partial_sum15_1[2],26.36
net243,26.22
_0175_,26.2
net177,26.06
partial_sum15_1[12],25.98
partial_sum14_2[6],25.95
_0124_,25.94
partial_sum14_2[10],25.94
_0282_,25.92
partial_sum15_1[10],25.9
_0429_,25.88
partial_sum14_1[6],25.88
_1907_,25.84
_1050_,25.8
_1664_,25.8
net466,25.78
_0995_,25.72
_1676_,25.72
_2115_,25.72
net85,25.62
_1111_,25.58
_0664_,25.5
partial_sum14[10],25.5
net178,25.4
_1403_,25.38
_1765_,25.28
_1955_,25.26
_0345_,25.24
_1252_,25.2
_0899_,25.1
_1131_,25.09
partial_sum16[1],25.06
partial_sum16[2],25.06
net100,25.06
partial_sum14_3[1],25.04
_1115_,25.02
final_sum3[2],24.91
_1139_,24.88
_1721_,24.88
final_sum3[1],24.86
partial_sum15_1[1],24.86
_0830_,24.84
_1717_,24.84
_0163_,24.82
sm1.s2.t2.A_wire\[3\],24.76
_1758_,24.72
net458,24.64
partial_sum15_1[14],24.6
net478,24.6
final_sum2[6],24.54
_1436_,24.5
partial_sum14_2[9],24.48
